id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST90129443,headache-disorder-2,GCST90275158,schizophrenia-M1,0.2536,0.0514,4.9295,8.2450e-07,0.1271,0.0128,1.0377,0.0088,0.0132,0.006
GCST90271611,epilepsy-2,GCST90320057,renal-carcinoma,0.199,0.0592,3.3625,0.0008,0.012,0.0012,0.9999,0.0165,0.0199,0.007
GCST008465,ANN-PGC-2019,GCST90043874,skin-carcinoma-face,0.0212,0.0745,0.2852,0.7755,0.0077,0.0016,1.0318,0.0099,0.0059,0.0076
GCST90275154,mdd-sex-M1,GCST90128471-all,SCZ-PGC-2022-all,0.3732,0.0326,11.4445,2.5051e-30,0.3438,0.0163,1.161,0.0198,0.0413,0.0074
GCST002245,alzheimers-late-onset-4,GCST90246357,cervical-dysplasia,-0.1617,0.2562,-0.6311,0.528,0.0025,0.0028,1.0069,0.0073,0.027,0.004
GCST90041886,breast-carcinoma-2,GCST90042686,breast-cancer-family-mother,0.9384,0.1225,7.661,1.8455e-14,0.0063,0.0014,1.0263,0.0094,0.0718,0.008
GCST90225529,anxiety-others,GCST004749,lung-carcinoma-smokers,-0.0717,0.0889,-0.8067,0.4198,0.1098,0.0289,1.044,0.0104,0.0119,0.0055
GCST002245,alzheimers-late-onset-4,GCST006465,endometrial-carcinoma-1,-0.0005,0.1886,-0.0026,0.998,0.0345,0.01,1.0752,0.0092,0.0088,0.0065
GCST90225528,anxiety-any,GCST90255676,crc-cancer-2,0.0993,0.0491,2.0242,0.0429,0.0856,0.0095,1.1593,0.0214,0.0006,0.0056
GCST004692,lateral-sclerosis-2,GCST90428117,prostate-cancer,0.2109,0.1485,1.4203,0.1555,0.0308,0.0047,1.0496,0.0116,-0.0131,0.0056
GCST90275153,mdd-age-sex-M1,GCST90435667,uterine-leiomyoma,0.2425,0.0914,2.655,0.0079,0.0115,0.0024,1.0214,0.0074,-0.0008,0.0048
GCST90042860,crc-benign-neoplasm,GCST003566,multiple-sclerosis-1,0.2126,0.1276,1.6661,0.0957,0.3029,0.1115,1.065,0.0168,0.0023,0.006
GCST90042844,anxiety-treatment-2,GCST90271613,partial-epilepsy-1,0.0122,0.1418,0.0857,0.9317,0.0384,0.0099,1.1203,0.0089,-0.0112,0.0067
PGC-ADHD-2022,ADHD-PGC-2022,GCST90428118,crc-cancer-3,0.0658,0.0771,0.8536,0.3933,0.0064,0.0018,1.0239,0.0088,0.0041,0.0062
GCST004748,lung-carcinoma-1,GCST90435631,lymph-node-malignant-neoplasm,0.3176,0.1087,2.9206,0.0035,0.0044,0.0011,0.9978,0.0067,0.0044,0.0054
GCST010009,mdd-lifetime-1,GCST90239856,uterine-leiomyoma-2,0.1915,0.0617,3.1017,0.0019,0.0254,0.0029,1.0284,0.0133,0.0081,0.0055
